epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
11,30491.7,1.10194,1.17207,1.40362,0.75388,0.76211,0.79141,0.54121,1.1368,1.02102,1.49064,0.000381752,0.000381752,0.000381752
12,32723.3,1.10529,1.14746,1.39399,0.72641,0.74925,0.78758,0.5434,1.12946,1.08182,1.48436,0.000372327,0.000372327,0.000372327
13,34816.8,1.10305,1.14171,1.40419,0.75352,0.75606,0.79454,0.55059,1.13018,1.03391,1.48082,0.000362902,0.000362902,0.000362902
14,36915.6,1.09356,1.10168,1.38723,0.76395,0.77713,0.82316,0.57319,1.11759,0.94911,1.4628,0.000353478,0.000353478,0.000353478
15,39040.6,1.08029,1.07953,1.38734,0.77488,0.75929,0.81672,0.56978,1.11339,0.93256,1.46189,0.000344053,0.000344053,0.000344053
16,41138,1.08278,1.05063,1.38393,0.77912,0.76907,0.81466,0.56503,1.11571,0.90174,1.46248,0.000334628,0.000334628,0.000334628
17,43258.4,1.06448,1.03689,1.37167,0.79594,0.76759,0.82503,0.5756,1.11186,0.88436,1.45185,0.000325203,0.000325203,0.000325203
18,45359.1,1.07529,1.02562,1.37857,0.79088,0.78458,0.8313,0.58186,1.10269,0.89102,1.44134,0.000315778,0.000315778,0.000315778
19,47453.3,1.0629,0.9996,1.3696,0.76602,0.79177,0.83336,0.58263,1.10611,0.86391,1.44188,0.000306354,0.000306354,0.000306354
20,49531.8,1.05186,0.9812,1.3629,0.79341,0.80171,0.8442,0.59341,1.08718,0.83847,1.4325,0.000296929,0.000296929,0.000296929
21,51614.1,1.0606,0.98003,1.36374,0.78374,0.79605,0.83793,0.58814,1.0993,0.84932,1.4269,0.000287504,0.000287504,0.000287504
22,53691.9,1.0394,0.94728,1.35205,0.78801,0.80411,0.84676,0.5936,1.08515,0.81544,1.42381,0.000278079,0.000278079,0.000278079
23,55774.9,1.04189,0.94361,1.35357,0.77868,0.80759,0.83924,0.5917,1.09404,0.82097,1.42996,0.000268654,0.000268654,0.000268654
24,57859.9,1.04487,0.93467,1.35316,0.81188,0.79514,0.84541,0.60162,1.08115,0.79322,1.41422,0.00025923,0.00025923,0.00025923
